protocol,service,flag,src_bytes,dst_bytes,count,src_ip,timestamp
tcp,ftp,SF,11047,85,35,192.168.0.105,2025-08-10 22:54:35,attack

tcp,http,SF,6335,74,80,192.168.0.105,2025-08-10 22:56:55,attack
tcp,ftp,SF,8011,67,58,192.168.0.105,2025-08-10 22:58:35,attack
tcp,ftp,SF,12892,44,87,192.168.0.105,2025-08-10 22:58:49,attack
tcp,http,SF,13126,76,63,192.168.0.105,2025-08-11 07:35:09,attack
tcp,ftp,SF,6549,82,47,10.79.49.59,2025-08-11 09:52:14,attack
tcp,http,SF,7361,85,38,10.79.49.59,2025-08-11 09:52:31,attack
tcp,ftp,SF,17159,67,40,10.79.49.59,2025-08-11 09:53:54,attack
tcp,ftp,SF,15606,31,98,10.79.49.59,2025-08-11 09:58:01,attack
tcp,ftp,SF,12042,41,89,10.79.49.59,2025-08-11 09:58:10,attack
