ip.src,ip.dst,frame.len,count,dst_bytes,src_bytes,labels
117.182.37.164,215.108.175.186,1018,150,7,20981,attack
201.85.133.219,172.237.75.17,455,305,9,41428,attack
47.179.11.201,84.254.21.106,354,191,0,13549,attack
89.97.47.189,36.114.218.61,1448,248,5,13789,attack
14.222.88.247,221.224.148.222,475,123,8,13813,attack
115.81.119.215,194.227.126.131,1443,359,10,20673,attack
78.250.114.178,59.202.243.118,1065,323,3,12257,attack
109.21.243.69,43.196.182.80,240,425,0,19812,attack
191.103.216.27,40.184.126.75,1296,166,8,24908,attack
198.90.89.185,229.116.124.203,402,356,7,10848,attack
12.150.111.93,206.167.203.220,1311,65,0,18453,attack
89.50.202.103,44.234.150.220,975,349,1,13710,attack
119.202.103.71,174.201.107.190,574,279,7,44027,attack
218.61.171.62,98.198.218.175,914,310,4,15884,attack
239.202.2.182,126.132.120.36,917,77,10,42707,attack
106.251.20.141,251.240.234.145,789,389,5,19327,attack
125.76.74.251,181.75.186.7,271,229,5,29902,attack
208.210.121.173,237.205.95.231,387,288,0,25116,attack
2.54.16.63,130.180.220.60,901,113,1,34707,attack
209.200.91.142,120.226.204.166,902,314,2,44451,attack
217.128.10.166,116.64.87.123,983,451,7,46559,attack
240.36.102.137,158.81.163.229,374,229,10,42771,attack
120.166.164.13,117.89.232.211,707,66,2,14214,attack
50.80.74.87,168.199.68.85,670,453,2,36657,attack
30.172.197.242,168.205.188.43,259,315,8,43786,attack
48.51.52.9,141.150.8.131,1357,464,9,38343,attack
45.83.143.255,20.123.200.128,344,443,10,47285,attack
170.105.92.10,29.198.38.27,667,402,8,40288,attack
6.62.140.169,145.147.78.33,633,463,3,33394,attack
83.28.198.174,206.106.20.220,979,332,2,19369,attack
52.82.169.113,118.93.157.53,1284,142,9,14718,attack
207.60.126.181,110.193.30.63,786,356,1,44804,attack
111.218.2.202,60.154.197.55,1072,474,10,36341,attack
140.24.64.201,54.216.21.238,719,155,9,45014,attack
155.242.197.191,164.232.152.122,1306,101,5,14696,attack
99.176.246.168,227.51.138.95,665,492,8,20945,attack
184.223.150.22,118.39.118.79,1498,408,3,29580,attack
99.50.218.180,207.196.113.70,1106,467,7,35728,attack
111.241.227.60,48.235.33.202,385,94,2,39094,attack
140.162.80.15,61.201.236.181,220,219,0,37430,attack
118.228.133.226,170.235.43.78,457,423,9,38593,attack
253.209.189.106,126.212.95.67,992,109,1,44109,attack
175.49.99.37,22.116.150.146,833,200,0,13669,attack
74.238.79.90,127.20.55.113,757,65,5,37652,attack
7.180.250.17,213.71.21.137,665,195,6,32389,attack
235.248.217.62,246.147.153.188,272,74,2,37746,attack
174.123.56.112,225.175.66.160,636,320,5,36770,attack
93.52.170.25,148.82.87.50,1035,428,0,15521,attack
31.67.136.228,66.30.249.149,109,63,10,10722,attack
67.165.125.194,54.222.96.211,1224,76,9,44318,attack
56.216.48.13,78.195.218.199,361,118,9,38569,attack
203.59.55.219,87.209.175.244,856,55,2,35150,attack
108.14.74.241,197.52.72.29,779,355,3,20824,attack
244.237.156.122,45.100.222.46,1113,445,4,17748,attack
78.231.209.180,253.239.137.46,452,183,2,12923,attack
159.206.84.236,241.43.45.48,1250,470,7,15863,attack
130.78.9.146,3.233.20.134,1015,362,0,40044,attack
83.56.110.150,58.9.35.76,546,500,10,30528,attack
79.172.193.3,125.63.87.132,1230,375,10,41696,attack
98.20.171.217,40.64.43.6,321,255,10,26050,attack
60.125.240.126,203.70.103.91,793,314,5,12356,attack
31.202.164.159,14.174.137.152,913,122,7,17989,attack
5.213.66.22,86.254.228.205,680,379,7,48882,attack
136.148.164.33,225.170.172.5,1285,75,6,11826,attack
8.207.140.112,47.245.176.234,1090,277,1,11331,attack
184.14.14.183,22.162.235.215,1220,144,4,26457,attack
114.131.195.37,70.64.143.6,1246,127,8,41585,attack
158.199.178.69,134.255.30.14,152,264,2,39239,attack
57.19.80.156,71.169.170.176,1219,411,2,48396,attack
135.227.232.66,174.108.207.86,982,130,9,26059,attack
241.118.133.131,131.196.129.249,734,287,0,31131,attack
115.48.79.96,197.229.20.163,739,359,10,21694,attack
203.191.110.178,150.107.30.76,188,141,9,18314,attack
228.196.199.109,157.23.132.40,919,445,9,22285,attack
119.233.245.19,39.26.181.15,332,203,10,36768,attack
60.10.80.130,197.147.222.33,843,251,3,44154,attack
12.9.225.32,32.52.111.55,200,73,9,39328,attack
136.146.162.141,70.139.242.57,1189,321,8,28723,attack
158.62.53.239,54.112.33.121,1176,425,9,33194,attack
118.79.11.166,255.123.65.135,1140,67,2,42863,attack
76.62.89.99,215.173.27.170,1352,224,3,27633,attack
238.242.246.161,112.159.219.37,1099,394,3,28429,attack
162.161.135.51,82.92.185.70,1021,159,10,42842,attack
149.121.211.181,248.42.175.13,1261,250,5,12200,attack
52.204.115.165,221.18.168.156,976,127,6,39571,attack
60.216.74.168,59.126.95.82,602,371,6,36253,attack
252.164.152.189,243.202.167.134,363,416,9,38709,attack
236.148.251.148,165.250.132.2,948,161,10,18958,attack
21.209.179.202,86.127.120.155,799,213,5,36177,attack
15.227.4.117,93.5.40.148,408,428,3,42061,attack
58.113.91.80,10.62.105.98,419,172,9,26432,attack
61.147.226.108,145.139.156.3,1047,288,8,17037,attack
164.119.84.226,249.228.202.233,642,283,7,49482,attack
149.85.99.243,139.23.116.105,1120,326,10,26630,attack
9.201.28.249,69.144.11.246,67,328,8,21418,attack
139.204.152.243,159.66.91.117,1124,219,10,15189,attack
99.117.233.195,116.249.245.43,537,68,8,16025,attack
216.48.24.66,37.138.120.14,1456,278,7,33051,attack
251.30.15.157,216.245.43.57,449,464,9,38000,attack
71.234.121.223,32.17.35.185,1422,413,2,12766,attack
100.7.171.166,80.219.247.115,1485,329,1,36335,attack
40.181.58.93,107.245.126.34,740,389,8,47002,attack
100.179.238.208,133.106.2.181,692,473,9,32808,attack
163.160.114.208,53.23.226.78,808,340,5,14269,attack
194.164.239.21,9.240.1.77,1365,102,3,25076,attack
23.203.228.133,80.199.23.38,1289,224,5,48520,attack
241.176.173.79,119.185.76.39,143,59,10,23636,attack
62.249.210.238,17.176.113.69,528,398,8,47373,attack
126.124.212.94,251.52.43.28,944,94,8,29666,attack
63.43.31.39,14.135.122.243,1300,333,8,39173,attack
199.3.12.237,226.50.36.155,897,293,1,17546,attack
177.32.219.192,85.94.28.206,1200,390,5,33255,attack
71.54.209.76,65.4.168.74,1044,459,9,17306,attack
10.64.101.227,60.51.189.123,818,299,0,12712,attack
51.55.221.157,29.23.158.157,983,112,6,33828,attack
