timestamp,ip,port,protocol_type,service,flag,src_bytes,dst_bytes,count,Prediction
2025-06-11 18:00:01,192.168.1.10,80,tcp,http,SF,2000,1000,12,normal
2025-06-11 18:00:03,192.168.1.11,443,tcp,https,SF,1500,850,10,normal
2025-06-11 18:00:05,192.168.1.12,21,tcp,ftp,SF,1000,600,5,normal
2025-06-11 18:00:06,192.168.1.13,22,tcp,ssh,SF,3000,1200,15,normal
2025-06-11 18:00:08,192.168.1.14,25,tcp,smtp,SF,500,400,3,normal
2025-06-11 18:00:10,192.168.1.15,53,udp,dns,SF,800,700,4,normal
2025-06-11 18:00:11,192.168.1.16,110,tcp,pop3,SF,1800,950,7,normal
2025-06-11 18:00:13,192.168.1.17,143,tcp,imap,SF,1200,800,6,normal
2025-06-11 18:00:14,10.0.0.5,4444,tcp,other,S0,0,0,50,attack
2025-06-11 18:00:15,10.0.0.6,6667,tcp,other,S0,10,0,40,attack
2025-06-11 18:00:16,10.0.0.7,23,tcp,other,S0,5,5,30,attack
2025-06-11 18:00:18,10.0.0.8,135,tcp,other,REJ,0,0,70,attack
2025-06-11 18:00:20,10.0.0.9,139,tcp,other,REJ,0,0,80,attack
2025-06-11 18:00:22,10.0.0.10,445,tcp,other,REJ,0,0,65,attack
2025-06-11 18:00:24,10.0.0.11,1433,tcp,other,S0,20,10,60,attack
2025-06-11 18:00:25,10.0.0.12,3389,tcp,other,S0,15,5,55,attack
